1.775343,1.532724,1.338204
1.775184,1.533331,1.339577
1.77508,1.533915,1.341143
1.775008,1.53451,1.34304
1.774902,1.535093,1.344526
1.774697,1.535686,1.345669
1.774581,1.536863,1.347084
1.77468,1.537008,1.348775
1.774386,1.538289,1.349782
1.774323,1.538642,1.351336
1.774281,1.539458,1.352635
1.774269,1.540657,1.35356
1.77427,1.541131,1.355098
1.77424,1.54204,1.356211
1.774242,1.543282,1.357047
1.774107,1.543978,1.358452
1.774152,1.545294,1.359142
1.77411,1.545826,1.360419
1.774139,1.547261,1.360978
1.774025,1.547998,1.362217
1.774079,1.549013,1.362927
1.774065,1.550113,1.363491
1.774216,1.551594,1.363804
1.774276,1.552554,1.364057
1.774287,1.553194,1.364679
1.774356,1.554106,1.364755
1.774545,1.555393,1.364246
1.774454,1.555932,1.364563
1.774436,1.556772,1.364553
1.77448,1.557611,1.364644
1.774588,1.558746,1.364101
1.774659,1.559256,1.364076
1.774517,1.559513,1.364475
1.774547,1.559949,1.364361
1.774633,1.560765,1.36385
1.774521,1.560722,1.364158
1.774473,1.561081,1.364222
1.774394,1.561386,1.364184
1.774475,1.561892,1.363823
1.774411,1.561607,1.36421
1.774383,1.561835,1.364331
1.774398,1.562211,1.363712
1.774338,1.561869,1.364046
1.77431,1.56186,1.363947
1.774371,1.562085,1.363357
1.774277,1.561587,1.363691
1.774288,1.561381,1.363537
1.774244,1.561146,1.363316
1.774355,1.560785,1.363144
1.774249,1.560608,1.362644
1.774195,1.560342,1.362154
1.774317,1.559926,1.361636
1.774345,1.559586,1.361071
1.774527,1.559133,1.360529
1.774566,1.558629,1.359524
1.774771,1.558079,1.358804
1.774839,1.557569,1.357559
1.774954,1.557093,1.356508
1.775152,1.556748,1.355792
1.775201,1.556361,1.354644
1.775319,1.555929,1.353708
1.775279,1.555672,1.352659
1.775317,1.555372,1.352001
1.775308,1.555044,1.351367
1.775226,1.554798,1.350737
1.775167,1.554469,1.350306
1.775042,1.554281,1.349998
1.774982,1.553924,1.349575
1.774915,1.553645,1.349275
1.774862,1.5534,1.349061
1.774755,1.553198,1.348934
1.774642,1.553006,1.348882
1.774564,1.552805,1.348923
1.774512,1.552608,1.349003
1.774429,1.552448,1.349132
1.774334,1.552258,1.349292
1.774271,1.552095,1.349467
1.774171,1.551996,1.349737
1.774113,1.551833,1.350024
1.774063,1.551638,1.350433
1.774001,1.551427,1.350702
1.773918,1.551152,1.351004
1.773828,1.550888,1.351195
1.773807,1.550516,1.351456
1.773691,1.550216,1.351683
1.773554,1.549938,1.35193
1.773443,1.549702,1.352109
1.773361,1.549457,1.352281
1.77332,1.549229,1.352456
1.773295,1.549053,1.352605
1.773265,1.548878,1.352761
1.773269,1.548757,1.352895
1.773286,1.548682,1.352988
1.773397,1.548594,1.353043
1.773508,1.548537,1.353046
1.773624,1.548502,1.352986
1.773729,1.548482,1.352935
1.773867,1.54848,1.352848
1.774017,1.548445,1.35277
1.774137,1.548425,1.352688
1.774267,1.548395,1.352648
1.774402,1.54837,1.352589
1.77456,1.54835,1.352597
1.774693,1.548314,1.352577
1.774825,1.548276,1.352578
1.774978,1.548249,1.352455
1.775133,1.548202,1.352248
1.775277,1.548161,1.351965
1.77541,1.54811,1.351702
1.775487,1.548087,1.351468
1.775586,1.548043,1.351269
1.775642,1.547946,1.350845
1.775746,1.547869,1.350676
1.775787,1.547786,1.350391
1.775936,1.547616,1.350263
1.775918,1.54763,1.349995
1.775977,1.547486,1.34978
1.776048,1.547327,1.349547
1.776107,1.547198,1.349322
1.776189,1.547048,1.349099
1.776206,1.546995,1.348858
1.776239,1.546872,1.348636
1.776298,1.546765,1.348341
1.776352,1.546645,1.348128
1.776385,1.546589,1.347892
1.77645,1.546524,1.347702
1.776503,1.546411,1.347439
1.776547,1.546356,1.347167
1.776479,1.546344,1.346851
1.776551,1.546187,1.346553
1.776505,1.546243,1.346099
1.776502,1.546238,1.345736
1.776483,1.546299,1.345519
1.776482,1.546286,1.345129
1.77643,1.54653,1.34494
1.776463,1.546492,1.344431
1.77645,1.546658,1.3441
1.776456,1.546806,1.343672
1.776447,1.546991,1.343328
1.776421,1.547136,1.343178
1.776429,1.547334,1.342941
1.776382,1.547573,1.342779
1.776312,1.547862,1.342726
1.776282,1.548163,1.342674
1.776248,1.548495,1.342696
1.776219,1.548793,1.34272
1.776207,1.549115,1.342871
